,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
143,5077,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
144,5079,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
145,5081,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
146,5083,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
147,5085,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
148,5087,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
149,5089,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
150,5091,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.7,8913,94,2,7,0
151,5093,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
152,5095,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
153,5097,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
154,5099,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
155,5101,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
156,5103,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
157,5105,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
158,5107,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
159,5109,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
160,5111,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
161,5113,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
162,5115,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
163,5117,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
164,5119,,,,737501.0,737503.0,737503.0,737500.0,737495.0,2.3,1.4,69678,222,2,19,1
165,5121,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
166,5123,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
167,5125,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
