FIPS,staffed_beds,licensed_beds,icu_beds
29027,56,37,0
29029,114,130,18
29031,494,601,31
29033,21,25,0
29037,96,106,9
29039,25,25,0
29043,48,48,0
29047,694,905,34
29049,34,58,5
29051,254,268,25
29065,25,55,0
29071,173,183,13
29073,24,24,0
29075,25,35,0
29077,1632,1955,129
29079,21,25,0
29081,14,19,0
29083,96,97,8
29091,128,139,12
29093,15,15,0
29095,2419,3018,279
29097,706,706,87
29099,279,341,28
29101,46,75,0
29105,43,58,4
29107,25,32,2
29109,25,53,0
29113,25,25,4
29115,25,54,0
29117,25,25,0
29121,25,25,0
29123,25,144,0
29127,86,99,8
29145,25,49,0
29147,38,81,0
29155,49,167,7
29157,25,25,0
29159,108,145,9
29161,172,242,18
29163,25,25,0
29165,118,97,0
29167,52,86,8
29169,46,0,0
29171,15,15,0
29175,33,99,8
29177,25,34,0
29183,1208,1016,39
29185,12,12,0
29186,25,47,0
29187,433,133,10
29189,5172,4894,460
29195,42,60,7
29199,25,25,0
29201,110,144,12
29207,48,48,4
29211,17,25,0
29213,105,157,18
29215,47,66,4
29217,57,140,6
29221,25,25,0
29510,2694,2281,196
30001,18,0,0
30003,49,0,0
30005,6,0,0
30007,25,0,0
30009,10,0,0
30011,25,0,0
30013,552,635,20
30015,33,0,0
30017,25,0,4
30019,25,0,0
30021,25,0,3
30023,199,0,0
30025,25,0,0
30027,23,0,0
30029,220,30,22
30031,87,86,8
30033,4,0,0
30035,46,0,0
30039,25,0,0
30041,49,49,6
30047,47,0,0
30049,131,143,8
30051,25,0,0
30053,25,0,0
30055,25,0,0
30057,20,0,0
30059,25,0,0
30061,24,0,0
30063,299,404,32
30065,25,0,0
30067,25,0,4
30071,6,0,0
30073,20,0,0
30077,16,0,0
30079,22,0,0
30081,25,0,5
30083,25,0,0
30085,75,0,0
30087,25,0,1
30089,16,0,0
30091,19,0,0
30093,71,98,11
30095,10,0,0
30097,25,0,0
30099,25,0,0
30101,21,0,0
30105,25,0,0
30107,25,0,0
30111,577,611,41
31001,127,162,10
31003,23,23,0
31011,25,25,0
31013,25,25,0
31015,20,20,0
31017,23,23,0
31019,362,266,34
31021,16,16,0
31023,20,20,0
31029,22,20,0
31031,25,0,0
31033,19,25,4
31037,25,25,0
31039,25,25,0
31041,35,35,0
31045,25,25,0
31047,57,57,0
31053,50,70,0
