,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
285,2020-04-05,-45.0,-16.0,-22.0,29.0,-25.0,16.0,51015
286,2020-04-11,-38.0,-6.0,-22.0,13.0,-27.0,20.0,51015
287,2020-03-29,-32.0,-6.0,,,-24.0,1.0,48015
288,2020-04-05,-37.0,-22.0,,,-27.0,1.0,48015
289,2020-04-11,-33.0,-22.0,,,-29.0,1.0,48015
290,2020-03-29,-42.0,-8.0,-14.0,,-35.0,16.0,1001
291,2020-04-05,-53.0,-8.0,-14.0,,-38.0,17.0,1001
292,2020-04-11,-37.0,16.0,-14.0,,-30.0,20.0,1001
293,2020-03-29,-50.0,-18.0,,,-28.0,,37011
294,2020-04-05,-57.0,-20.0,,,-36.0,,37011
295,2020-04-11,-57.0,-20.0,,,-31.0,,37011
296,2020-03-29,-24.0,-8.0,,,-32.0,-2.0,22009
297,2020-04-05,-16.0,-1.0,,,-33.0,-2.0,22009
298,2020-04-11,-16.0,5.0,,,-27.0,-2.0,22009
299,2020-03-29,-26.0,-15.0,,,-20.0,,13005
300,2020-04-05,-21.0,-27.0,,,-27.0,,13005
301,2020-04-11,-21.0,-27.0,,,-39.0,,13005
302,2020-03-29,-29.0,-14.0,,,-31.0,,48017
303,2020-04-05,-24.0,-8.0,,,-35.0,,48017
304,2020-04-11,-24.0,-8.0,,,-35.0,,48017
305,2020-03-29,-23.0,-8.0,,-45.0,-27.0,-3.0,12003
306,2020-04-05,-38.0,-6.0,,-55.0,-30.0,-3.0,12003
307,2020-04-11,-27.0,-6.0,,-60.0,-20.0,-3.0,12003
308,2020-03-29,-44.0,-14.0,,-12.0,-31.0,,41001
309,2020-04-05,-38.0,-10.0,,-14.0,-30.0,,41001
310,2020-04-11,-38.0,-10.0,,-27.0,-31.0,,41001
311,2020-03-29,-47.0,-19.0,-27.0,-24.0,-32.0,9.0,1003
312,2020-04-05,-55.0,-27.0,-44.0,-39.0,-35.0,11.0,1003
313,2020-04-11,-44.0,-10.0,-42.0,-39.0,-28.0,11.0,1003
314,2020-03-29,-34.0,-20.0,,,-31.0,13.0,13009
315,2020-04-05,-45.0,-26.0,,,-36.0,12.0,13009
316,2020-04-11,-38.0,-11.0,,,-31.0,16.0,13009
317,2020-03-29,,,,,-24.0,,21007
318,2020-04-05,,,,,-30.0,,21007
319,2020-04-11,,,,,-41.0,,21007
320,2020-03-29,-46.0,-21.0,10.0,-39.0,-36.0,13.0,24005
321,2020-04-05,-46.0,-17.0,61.0,-33.0,-39.0,13.0,24005
322,2020-04-11,-41.0,0.0,63.0,-32.0,-37.0,15.0,24005
323,2020-03-29,-28.0,2.0,,,-26.0,,45009
324,2020-04-05,-32.0,4.0,,,-12.0,,45009
325,2020-04-11,-32.0,4.0,,,-30.0,,45009
326,2020-03-29,-25.0,15.0,-36.0,,-35.0,,48019
327,2020-04-05,-45.0,-5.0,-49.0,,-40.0,,48019
328,2020-04-11,-45.0,-5.0,-71.0,,-30.0,,48019
329,2020-03-29,-35.0,,,,-19.0,,13011
330,2020-04-05,-50.0,,,,-30.0,,13011
331,2020-04-11,-39.0,,,,-19.0,,13011
332,2020-03-29,-39.0,-24.0,-6.0,-28.0,-37.0,9.0,16005
333,2020-04-05,-34.0,-21.0,-10.0,-29.0,-39.0,9.0,16005
334,2020-04-11,-44.0,-2.0,-40.0,-44.0,-32.0,11.0,16005
335,2020-03-29,,-44.0,,,-57.0,,26013
336,2020-04-05,,-44.0,,,-57.0,,26013
337,2020-04-11,,-44.0,,,-63.0,,26013
338,2020-03-29,-27.0,-20.0,,,-23.0,,1005
339,2020-04-05,-40.0,-20.0,,,-30.0,,1005
340,2020-04-11,-18.0,-20.0,,,-31.0,,1005
341,2020-03-29,-47.0,-9.0,,,-16.0,,54001
342,2020-04-05,-49.0,-1.0,,,-13.0,,54001
343,2020-04-11,-49.0,-1.0,,,-20.0,,54001
344,2020-03-29,-22.0,,,,-25.0,,38003
345,2020-04-05,-34.0,,,,-41.0,,38003
346,2020-04-11,-34.0,,,,-41.0,,38003
347,2020-03-29,-57.0,-28.0,-38.0,-67.0,-41.0,13.0,25001
348,2020-04-05,-48.0,-26.0,61.0,-46.0,-39.0,11.0,25001
349,2020-04-11,-43.0,-7.0,93.0,-40.0,-38.0,13.0,25001
350,2020-03-29,-23.0,11.0,,,-24.0,,45011
351,2020-04-05,-33.0,4.0,,,-28.0,,45011
352,2020-04-11,-33.0,4.0,,,-24.0,,45011
353,2020-03-29,-31.0,-9.0,,,-28.0,7.0,21009
354,2020-04-05,-28.0,11.0,,,-35.0,7.0,21009
355,2020-04-11,-36.0,12.0,,,-27.0,7.0,21009
356,2020-03-29,-47.0,-38.0,,,-31.0,17.0,55005
357,2020-04-05,-46.0,-19.0,,,-32.0,21.0,55005
358,2020-04-11,-42.0,-5.0,,,-29.0,19.0,55005
359,2020-03-29,-35.0,-12.0,-37.0,,-34.0,11.0,13013
360,2020-04-05,-45.0,-15.0,,,-42.0,14.0,13013
361,2020-04-11,-32.0,2.0,,,-31.0,12.0,13013
362,2020-03-29,-55.0,-9.0,,,-40.0,25.0,26015
363,2020-04-05,-42.0,-1.0,,,-37.0,24.0,26015
364,2020-04-11,-48.0,18.0,,,-37.0,29.0,26015
365,2020-03-29,-18.0,19.0,,,-26.0,9.0,29009
366,2020-04-05,-27.0,14.0,,,-25.0,12.0,29009
367,2020-04-11,-32.0,10.0,,,-23.0,11.0,29009
368,2020-03-29,-49.0,-30.0,10.0,-28.0,-45.0,26.0,18005
369,2020-04-05,-55.0,-28.0,-12.0,-35.0,-46.0,24.0,18005
370,2020-04-11,-49.0,-10.0,23.0,-17.0,-49.0,28.0,18005
371,2020-03-29,-12.0,3.0,,,-15.0,-1.0,20009
372,2020-04-05,-31.0,-16.0,,,-24.0,-1.0,20009
373,2020-04-11,-30.0,-16.0,,,-18.0,-1.0,20009
374,2020-03-29,-18.0,,,,-25.0,,29011
375,2020-04-05,-23.0,,,,-25.0,,29011
376,2020-04-11,-23.0,,,,-34.0,,29011
377,2020-03-29,-42.0,-5.0,40.0,-25.0,-33.0,9.0,13015
378,2020-04-05,-46.0,-9.0,74.0,-31.0,-34.0,10.0,13015
379,2020-04-11,-41.0,7.0,126.0,-28.0,-33.0,10.0,13015
380,2020-03-29,-32.0,-24.0,-14.0,,-34.0,12.0,48021
381,2020-04-05,-40.0,-29.0,-55.0,,-39.0,18.0,48021
382,2020-04-11,-37.0,-21.0,-66.0,,-36.0,16.0,48021
383,2020-03-29,-20.0,15.0,,,-18.0,,29013
384,2020-04-05,-27.0,30.0,,,-24.0,,29013
385,2020-04-11,-27.0,30.0,,,-19.0,,29013
386,2020-03-29,,-9.0,,,-34.0,,21011
387,2020-04-05,,-11.0,,,-38.0,,21011
388,2020-04-11,,-11.0,,,-48.0,,21011
389,2020-03-29,,,-70.0,,,,51017
390,2020-04-05,,,-69.0,,,,51017
391,2020-04-11,,,-73.0,,,,51017
392,2020-03-29,-30.0,-2.0,,,-26.0,11.0,5005
393,2020-04-05,-33.0,18.0,,,-26.0,13.0,5005
394,2020-04-11,-34.0,18.0,,,-22.0,13.0,5005
395,2020-03-29,-38.0,-16.0,-2.0,-50.0,-27.0,8.0,12005
396,2020-04-05,-49.0,-24.0,-20.0,-62.0,-32.0,10.0,12005
397,2020-04-11,-43.0,-13.0,-18.0,-54.0,-29.0,11.0,12005
398,2020-03-29,-55.0,-25.0,-23.0,,-37.0,11.0,26017
399,2020-04-05,-54.0,-22.0,-23.0,,-39.0,9.0,26017
400,2020-04-11,-59.0,-11.0,-23.0,,-41.0,14.0,26017
401,2020-03-29,-69.0,-33.0,,,-37.0,,55007
402,2020-04-05,-70.0,-28.0,,,-48.0,,55007
403,2020-04-11,-70.0,-28.0,,,-48.0,,55007
404,2020-03-29,-35.0,-22.0,,,-26.0,,46005
405,2020-04-05,-36.0,-12.0,,,-26.0,,46005
406,2020-04-11,-36.0,-12.0,,,-24.0,,46005
407,2020-03-29,-53.0,,,,-36.0,,16007
408,2020-04-05,-28.0,-17.0,,,-44.0,,16007
409,2020-04-11,-28.0,-17.0,,,-41.0,,16007
410,2020-03-29,-22.0,-7.0,58.0,,-25.0,13.0,37013
411,2020-04-05,-31.0,-5.0,15.0,,-29.0,14.0,37013
412,2020-04-11,-26.0,1.0,25.0,,-20.0,13.0,37013
413,2020-03-29,-38.0,-16.0,1.0,-32.0,-39.0,10.0,45013
414,2020-04-05,-44.0,-21.0,-45.0,-48.0,-45.0,11.0,45013
