,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
26139,33.0,176.0,176.0
26141,,,
26143,-38.0,-33.0,-33.0
26145,-10.0,0.0,-14.0
26147,38.0,-2.0,27.0
26149,,,
26151,,,
26153,-51.0,-49.0,-22.0
26155,,,
26157,,,
26159,-9.0,,
26161,53.0,130.0,115.0
26163,24.0,69.0,36.0
26165,,,
27001,-65.0,-50.0,-58.0
27003,12.0,187.0,118.0
27005,,,
27007,4.0,11.0,-38.0
27009,,,
27011,,,
27013,-40.0,-26.0,-26.0
27015,,,
27017,,,
27019,-41.0,68.0,46.0
27021,-18.0,-16.0,-11.0
27023,,,
27025,-33.0,-33.0,-33.0
27027,,,
27029,,,
27031,,,
27033,,,
27035,-33.0,-17.0,14.0
27037,-16.0,139.0,90.0
27039,,,
27041,-47.0,-47.0,-47.0
27043,,,
27045,,,
27047,,,
27049,-20.0,-20.0,-20.0
27051,,,
27053,-17.0,105.0,65.0
27055,,,
27057,,,
27059,-36.0,-36.0,-36.0
27061,,,
27063,,,
27065,,,
27067,,,
27071,,,
27073,,,
27075,-50.0,-11.0,25.0
27077,,,
27079,,,
27081,,,
27083,,,
27085,,,
27087,,,
27089,,,
27091,,,
27093,,,
27095,,,
27097,-61.0,-61.0,-61.0
27099,,,
27101,,,
27103,,,
27105,,,
27107,,,
27109,-13.0,29.0,107.0
27111,-2.0,-9.0,-9.0
27113,,,
27115,-47.0,-47.0,-47.0
27117,,,
27119,,,
27121,,,
27123,-29.0,92.0,26.0
27125,,,
27127,,,
27129,,,
27131,-48.0,2.0,2.0
27133,,,
27135,,,
27137,-35.0,58.0,32.0
27139,-19.0,107.0,83.0
27141,-42.0,-42.0,-42.0
27143,,,
27145,-53.0,6.0,-19.0
27147,-60.0,-37.0,-37.0
27149,,,
27151,,,
27153,,,
27157,,,
27159,,,
27161,,,
27163,-8.0,223.0,136.0
27165,,,
27167,,,
27169,,,
27171,-25.0,25.0,79.0
27173,,,
28001,,,
28003,,,
28005,,,
28007,,,
28009,,,
28011,,,
28013,,,
28015,,,
28017,,,
28021,,,
28023,,,
28025,,,
28027,,,
28029,,,
28031,,,
28035,,,
28039,,,
28041,,,
28043,,,
28045,,,
28047,51.0,4.0,-3.0
28049,10.0,-6.0,-24.0
28051,,,
28053,,,
28057,,,
28059,19.0,-25.0,-27.0
28061,,,
28063,,,
28065,,,
28067,,,
28069,,,
28071,,,
28073,,,
28075,8.0,-20.0,-10.0
28077,,,
28079,,,
28081,,,
28083,,,
28085,,,
28087,,,
28089,45.0,-36.0,-53.0
28091,,,
28093,,,
