,fips,pclon10,pclat10
527,13279,-82.36702199999999,32.183935999999996
528,13281,-83.782961,34.938691999999996
529,13283,-82.589718,32.387046999999995
530,13285,-85.031746,33.036737
531,13287,-83.636891,31.700824
532,13289,-83.416286,32.703662
533,13291,-84.002286,34.874243
534,13293,-84.324382,32.907469
535,13295,-85.293376,34.83654
536,13297,-83.784266,33.795381
537,13299,-82.383943,31.22682
538,13301,-82.66284399999999,33.407596000000005
539,13303,-82.77340600000001,32.962029
540,13305,-81.919105,31.611857
541,13307,-84.56065699999999,32.049343
542,13309,-82.751307,32.146558
543,13311,-83.744309,34.601048
544,13313,-84.965686,34.792742
545,13315,-83.40565699999999,31.975167
546,13317,-82.753524,33.755364
547,13319,-83.239491,32.8443
548,13321,-83.861186,31.535712
549,15001,-155.421895,19.672837
550,15003,-157.913673,21.372464
551,15005,-156.979972,21.188495
552,15007,-159.442112,22.021022
553,15009,-156.49381599999998,20.863747
554,16001,-116.304409,43.611186
555,16003,-116.375947,44.848619
556,16005,-112.423672,42.869212
557,16007,-111.341632,42.306336
558,16009,-116.63973600000001,47.271692
559,16011,-112.355721,43.217372
560,16013,-114.29427700000001,43.541366
561,16015,-115.993695,43.899702000000005
562,16017,-116.630982,48.235649
563,16019,-111.997623,43.494876
564,16021,-116.302851,48.705964
565,16023,-113.29456200000001,43.699096999999995
566,16025,-114.756451,43.350524
567,16027,-116.627276,43.611438
568,16029,-111.65606299999999,42.643778000000005
569,16031,-113.74183300000001,42.482791
570,16033,-112.278608,44.185815000000005
571,16035,-116.185221,46.485240000000005
572,16037,-114.04803500000001,44.285168
573,16039,-115.68440700000001,43.115320000000004
574,16041,-111.872202,42.0993
575,16043,-111.61546399999999,44.014844000000004
576,16045,-116.506739,43.884322999999995
577,16047,-114.75106699999999,42.852717
578,16049,-116.10656599999999,45.974127
579,16051,-111.969394,43.691123
580,16053,-114.46266899999999,42.698446999999994
581,16055,-116.832581,47.73713
582,16057,-116.93443400000001,46.742968
583,16059,-113.86153,45.127412
584,16061,-116.25738999999999,46.238065999999996
585,16063,-114.32606899999999,42.973467
586,16065,-111.794073,43.819114
587,16067,-113.712227,42.613265999999996
588,16069,-116.95046200000002,46.394126
589,16071,-112.30127399999999,42.181568
590,16073,-116.68155800000001,43.376748
591,16075,-116.894281,44.020334000000005
592,16077,-112.829004,42.775001
593,16079,-116.085925,47.514637
594,16081,-111.125546,43.692977
595,16083,-114.504002,42.558563
596,16085,-116.073719,44.758677
597,16087,-116.919922,44.297897999999996
598,17001,-91.328948,39.943826
599,17003,-89.289666,37.149251
600,17005,-89.432819,38.884622
601,17007,-88.851989,42.293981
602,17009,-90.746466,39.964815
603,17011,-89.42378000000001,41.382964
604,17013,-90.63801,39.12353
605,17015,-89.963255,42.071878999999996
606,17017,-90.319209,39.979865999999994
607,17019,-88.233083,40.128073
608,17021,-89.254627,39.525298
609,17023,-87.800246,39.351007
610,17025,-88.490134,38.716132
611,17027,-89.472099,38.587753
612,17029,-88.258277,39.487297
613,17031,-87.757714,41.865937
614,17033,-87.748024,39.00569
615,17035,-88.28088699999999,39.275965
616,17037,-88.72946,41.927172
617,17039,-88.908946,40.171701
618,17041,-88.279794,39.766826
619,17043,-88.071617,41.849815
620,17045,-87.71537,39.635942
621,17047,-88.04063000000001,38.402493
622,17049,-88.576033,39.094722999999995
623,17051,-89.033295,38.997828999999996
624,17053,-88.217453,40.527421999999994
625,17055,-88.953316,37.962134999999996
626,17057,-90.119357,40.521963
627,17059,-88.238563,37.770001
628,17061,-90.373465,39.372240000000005
629,17063,-88.347437,41.345273999999996
