FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
8005,14.0,13.0,-40.0,-42.0,-36.0,-31.0,14.0,41.0,-30.0,-25.0,-52.0,-48.0
8007,,,-44.0,-46.0,,,,,-28.0,-20.0,-60.0,-58.0
8011,,,,-34.0,,,,,,,,
8013,15.0,15.0,-47.0,-47.0,-44.0,-42.0,-7.0,23.0,-32.0,-30.0,-59.0,-55.0
8015,,,-45.0,-45.0,,,-36.0,-27.0,-31.0,-34.0,-56.0,-51.0
8019,,,-40.0,-48.0,,,-42.0,-18.0,-55.0,-53.0,-88.0,-87.0
8021,,,-29.0,-33.0,,,,,,,,
8029,5.0,5.0,-19.0,-27.0,,,-40.0,-6.0,-20.0,-11.0,-41.0,-27.0
8031,16.0,14.0,-43.0,-45.0,-75.0,-76.0,-17.0,6.0,-25.0,-20.0,-63.0,-59.0
8035,14.0,13.0,-43.0,-45.0,-50.0,-50.0,10.0,42.0,-36.0,-34.0,-56.0,-55.0
8037,26.0,26.0,-74.0,-74.0,-67.0,-67.0,-46.0,-46.0,-47.0,-42.0,-75.0,-73.0
8039,0.0,0.0,-37.0,-43.0,,,,,-16.0,-25.0,-22.0,-19.0
8041,12.0,11.0,-40.0,-40.0,-55.0,-51.0,-1.0,20.0,-22.0,-17.0,-45.0,-42.0
8043,14.0,15.0,-29.0,-27.0,,,-7.0,7.0,-13.0,2.0,-35.0,-24.0
8045,22.0,20.0,-45.0,-40.0,-34.0,-34.0,4.0,25.0,-35.0,-30.0,-51.0,-47.0
8047,,,-67.0,-63.0,,,,,,,,
8049,,,-60.0,-64.0,-43.0,-43.0,-84.0,-83.0,-49.0,-50.0,-85.0,-83.0
8051,,,-55.0,-55.0,,,-50.0,-35.0,-43.0,-38.0,-73.0,-65.0
8055,,,-28.0,-25.0,,,,,-43.0,-10.0,-62.0,-50.0
8059,14.0,13.0,-43.0,-44.0,-39.0,-30.0,-3.0,24.0,-41.0,-34.0,-53.0,-48.0
8063,,,-13.0,-20.0,-18.0,-28.0,,,-20.0,-20.0,-39.0,-34.0
8065,,,-57.0,-49.0,,,,,-33.0,-34.0,-82.0,-77.0
8067,25.0,21.0,-43.0,-46.0,-68.0,-66.0,4.0,21.0,-28.0,-15.0,-58.0,-51.0
8069,13.0,12.0,-38.0,-40.0,-38.0,-33.0,1.0,15.0,-27.0,-20.0,-53.0,-49.0
8071,,,-21.0,-27.0,,,,,-23.0,-27.0,-40.0,-37.0
8073,,,-30.0,-33.0,-31.0,-30.0,,,-31.0,-12.0,-33.0,-36.0
8075,,,-26.0,-29.0,,,,,-15.0,-13.0,-32.0,-29.0
8077,9.0,7.0,-35.0,-33.0,-35.0,-24.0,11.0,46.0,-21.0,-15.0,-40.0,-34.0
8081,,,-36.0,-33.0,,,,,-22.0,-24.0,-26.0,-27.0
8083,-1.0,-1.0,-31.0,-25.0,,,,,-14.0,2.0,-39.0,-30.0
8085,17.0,13.0,-36.0,-39.0,,,,,-31.0,-21.0,-45.0,-39.0
8087,14.0,16.0,-18.0,-25.0,-23.0,-29.0,0.0,-4.0,-33.0,-27.0,-40.0,-40.0
8089,,,-25.0,-23.0,,,,,-28.0,-17.0,-32.0,-25.0
8091,,,-56.0,-56.0,,,,,,,-28.0,-28.0
8093,,,-52.0,-48.0,,,3.0,46.0,-44.0,-41.0,-84.0,-63.0
8097,,,-75.0,-75.0,-85.0,-86.0,,,-56.0,-53.0,-100.0,-100.0
8099,,,-17.0,-26.0,-33.0,-32.0,,,-25.0,-4.0,-32.0,-18.0
8101,9.0,8.0,-29.0,-27.0,-32.0,-30.0,-45.0,-24.0,-21.0,-10.0,-42.0,-36.0
8103,,,-28.0,-36.0,,,,,,,,
8105,,,-17.0,-27.0,,,,,-24.0,-20.0,-38.0,-25.0
8107,-2.0,-2.0,-62.0,-63.0,-65.0,-65.0,-48.0,-58.0,-49.0,-52.0,-82.0,-83.0
8109,,,-44.0,-44.0,,,,,,,,
8113,,,-69.0,-69.0,,,,,,,-80.0,-80.0
8117,5.0,5.0,-71.0,-65.0,-67.0,-67.0,-74.0,-72.0,-73.0,-73.0,-86.0,-84.0
8119,-1.0,-1.0,-45.0,-46.0,,,,,-23.0,-19.0,-46.0,-34.0
8121,,,,-42.0,,,,,,,,
8123,12.0,11.0,-33.0,-32.0,-32.0,-29.0,-4.0,23.0,-26.0,-17.0,-42.0,-37.0
