,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
1787,34027,3,1867.0,1528.0,81.0,91
1788,34029,4,1325.0,1528.0,94.0,106
1789,34031,2,1740.0,1187.0,53.0,97
1790,34033,2,209.0,222.0,19.0,19
1791,34035,1,820.0,642.0,28.0,28
1792,34037,1,130.0,148.0,10.0,10
1793,34039,3,1010.0,1401.0,55.0,80
1794,34041,2,156.0,309.0,20.0,20
1795,35001,5,2647.0,1958.0,117.0,138
1797,35005,2,204.0,232.0,24.0,24
1798,35006,2,31.0,25.0,4.0,4
1799,35007,1,25.0,25.0,4.0,4
1800,35009,1,106.0,106.0,8.0,8
1802,35013,2,663.0,427.0,51.0,51
1803,35015,2,130.0,164.0,12.0,12
1804,35017,1,32.0,68.0,6.0,6
1805,35019,1,10.0,10.0,0.0,0
1808,35025,2,86.0,230.0,8.0,8
1809,35027,1,25.0,25.0,4.0,4
1810,35028,1,47.0,47.0,6.0,6
1811,35029,1,25.0,25.0,6.0,6
1812,35031,4,148.0,98.0,5.0,5
1814,35035,2,56.0,100.0,10.0,10
1816,35039,1,52.0,70.0,8.0,8
1817,35041,1,20.0,24.0,0.0,0
1818,35043,1,200.0,259.0,0.0,0
1819,35045,2,260.0,210.0,10.0,10
1820,35047,1,226.0,175.0,8.0,8
1821,35049,3,244.0,219.0,24.0,22
1822,35051,1,11.0,25.0,0.0,0
1823,35053,1,24.0,24.0,0.0,0
1824,35055,1,6.0,25.0,6.0,6
1826,35059,1,50.0,50.0,0.0,0
1828,36001,3,1623.0,899.0,81.0,120
1829,36003,2,69.0,70.0,6.0,6
1830,36005,6,4602.0,3000.0,201.0,270
1831,36007,2,772.0,742.0,47.0,47
1832,36009,1,260.0,186.0,0.0,0
1833,36011,1,85.0,99.0,0.0,14
1834,36013,3,208.0,386.0,26.0,26
1835,36015,2,325.0,391.0,20.0,20
1836,36017,1,58.0,58.0,7.0,7
1837,36019,1,300.0,300.0,21.0,21
1838,36021,1,95.0,192.0,9.0,9
1839,36023,1,103.0,162.0,12.0,12
1840,36025,3,56.0,0.0,0.0,0
1841,36027,2,874.0,692.0,27.0,51
1842,36029,6,2653.0,2664.0,190.0,262
1843,36031,1,25.0,0.0,0.0,0
1844,36033,2,131.0,171.0,13.0,13
