,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
13205,-25.0,-28.0,-28.0
13207,3.0,-3.0,-3.0
13209,-7.0,-5.0,-5.0
13211,-14.0,-18.0,-18.0
13213,1.0,-6.0,3.0
13215,-8.0,-14.0,-1.0
13217,-14.0,-9.0,10.0
13219,-7.0,-27.0,-27.0
13221,0.0,-12.0,-12.0
13223,-25.0,-30.0,-10.0
13225,-16.0,-28.0,-7.0
13227,-16.0,-22.0,8.0
13229,-14.0,-23.0,-23.0
13231,3.0,-11.0,-11.0
13233,-4.0,-3.0,-3.0
13235,-12.0,-26.0,-26.0
13237,2.0,-9.0,-9.0
13241,-2.0,-20.0,-20.0
13243,,,
13245,-5.0,-16.0,-4.0
13247,-11.0,-12.0,13.0
13249,,,
13251,0.0,-21.0,-21.0
13253,-18.0,-16.0,-16.0
13255,-13.0,-20.0,1.0
13257,-9.0,-6.0,-6.0
13261,-25.0,-35.0,-25.0
13263,,,
13267,3.0,-11.0,-11.0
13269,4.0,-7.0,-7.0
13271,0.0,-15.0,-15.0
13273,-17.0,-23.0,-23.0
13275,-9.0,-14.0,-3.0
13277,-26.0,-32.0,-17.0
13279,-12.0,-18.0,-6.0
13281,-3.0,-15.0,-15.0
13283,-4.0,-17.0,-17.0
13285,-10.0,-15.0,6.0
13287,23.0,8.0,8.0
13289,,,
13291,11.0,-8.0,-8.0
13293,-8.0,-10.0,-10.0
13295,7.0,-9.0,20.0
13297,7.0,4.0,22.0
13299,-18.0,-20.0,-13.0
13301,,,
13303,-31.0,-34.0,-34.0
13305,-8.0,-15.0,-15.0
13311,-2.0,-17.0,-17.0
13313,-7.0,-19.0,0.0
13315,13.0,-6.0,-6.0
13317,-14.0,-11.0,-11.0
13319,0.0,-3.0,-3.0
13321,-9.0,-20.0,-20.0
15001,-47.0,-33.0,-34.0
15003,-32.0,-22.0,-24.0
15007,-53.0,-42.0,-50.0
15009,-40.0,-32.0,-37.0
16001,-23.0,-20.0,-6.0
16005,-24.0,-21.0,-2.0
16007,,-17.0,-17.0
16009,4.0,-6.0,-6.0
16011,-13.0,-5.0,2.0
16013,-48.0,-50.0,-50.0
16015,,,
16017,-34.0,-32.0,-32.0
16019,-11.0,-7.0,-2.0
16021,-9.0,-4.0,-4.0
16027,-15.0,-8.0,4.0
16029,-2.0,-6.0,-6.0
16031,-10.0,2.0,2.0
16035,0.0,-14.0,-14.0
16039,-9.0,1.0,1.0
16041,-4.0,-10.0,-10.0
16043,-5.0,2.0,2.0
16045,-25.0,1.0,1.0
16047,-10.0,-4.0,-4.0
16049,-12.0,-15.0,-15.0
16051,-10.0,-12.0,-12.0
16053,-44.0,-44.0,-44.0
16055,-20.0,-15.0,4.0
16057,-33.0,-22.0,-22.0
16059,-20.0,-27.0,-27.0
16063,,,
16065,-19.0,-28.0,-28.0
16067,10.0,27.0,27.0
16069,-14.0,-5.0,17.0
16071,,,
16073,13.0,12.0,12.0
16075,-10.0,-5.0,-5.0
16077,-7.0,-9.0,-9.0
16079,4.0,-4.0,-4.0
16081,-20.0,-19.0,-19.0
16083,-13.0,-7.0,2.0
16085,-58.0,-54.0,-54.0
16087,-15.0,2.0,2.0
17001,-15.0,-15.0,-7.0
17003,,,
17005,-2.0,2.0,2.0
17007,-23.0,-6.0,-6.0
17011,-9.0,14.0,14.0
17015,-9.0,14.0,14.0
17017,-10.0,10.0,10.0
17019,-29.0,-25.0,-10.0
17021,-30.0,-20.0,-20.0
17023,,,
17025,,,
17027,-4.0,-2.0,-2.0
17029,-11.0,-5.0,4.0
17031,-26.0,-20.0,-9.0
17033,2.0,22.0,22.0
17035,,,
17037,-20.0,-6.0,21.0
17039,-29.0,-23.0,-23.0
17041,-3.0,14.0,14.0
17045,-20.0,10.0,10.0
17047,,,
17049,-2.0,2.0,2.0
17051,-16.0,-10.0,-10.0
17053,-18.0,-11.0,-11.0
17055,9.0,1.0,1.0
17057,-19.0,-12.0,-12.0
17059,,,
17061,-2.0,2.0,2.0
17063,-24.0,-7.0,16.0
17065,,,
17067,-16.0,17.0,17.0
17071,,,
17073,-18.0,2.0,2.0
17075,-2.0,16.0,16.0
17077,-14.0,-17.0,-4.0
17079,,,
17081,-21.0,-22.0,-6.0
17083,10.0,-24.0,-24.0
17085,-13.0,-2.0,-2.0
17087,,,
17089,-27.0,-19.0,-3.0
17091,-20.0,-6.0,12.0
17093,-28.0,-30.0,-7.0
17095,3.0,23.0,28.0
17097,-25.0,-17.0,0.0
17101,,,
17103,-18.0,23.0,23.0
17105,-1.0,22.0,22.0
17107,-31.0,-21.0,-21.0
17109,-13.0,-9.0,-9.0
17111,-23.0,-15.0,3.0
17113,-28.0,-20.0,-1.0
17115,-14.0,-2.0,10.0
17117,1.0,7.0,7.0
17119,-17.0,-15.0,9.0
17121,-5.0,5.0,5.0
17123,,,
17125,4.0,35.0,35.0
17127,-18.0,-10.0,-10.0
17129,,,
17131,,,
17133,-12.0,-31.0,-31.0
17135,-13.0,-6.0,-6.0
17137,-3.0,7.0,7.0
17139,,,
17141,-9.0,4.0,4.0
17143,-19.0,-6.0,17.0
17145,-4.0,-5.0,-5.0
17147,,,
17149,-11.0,-6.0,-6.0
17153,,,
17155,,,
17157,9.0,4.0,4.0
17159,-11.0,-2.0,-2.0
17161,0.0,10.0,25.0
17163,-13.0,-13.0,3.0
17165,1.0,2.0,2.0
17167,-18.0,-11.0,1.0
17169,,,
17173,,,
17175,,,
17177,-27.0,4.0,4.0
17179,-9.0,4.0,18.0
17181,-5.0,-10.0,-10.0
17183,-15.0,-7.0,15.0
17185,-17.0,-19.0,-19.0
17187,0.0,10.0,10.0
17189,0.0,-6.0,-6.0
17191,-8.0,9.0,9.0
17193,-7.0,-7.0,-7.0
17195,-24.0,-12.0,12.0
17197,-27.0,-15.0,1.0
17199,-15.0,-19.0,-4.0
17201,-30.0,-19.0,14.0
17203,-5.0,10.0,10.0
18001,-25.0,-29.0,-29.0
18003,-36.0,-23.0,-12.0
18005,-30.0,-28.0,-10.0
18007,,,
18009,-17.0,-7.0,-7.0
18011,-28.0,-24.0,-6.0
18013,-4.0,-20.0,-20.0
18015,-14.0,5.0,5.0
18017,-17.0,1.0,-3.0
18019,-10.0,-8.0,4.0
18021,-35.0,-29.0,-29.0
18023,-30.0,-9.0,-9.0
18025,-16.0,-16.0,-16.0
18027,-5.0,5.0,5.0
18029,-11.0,-14.0,-14.0
18031,-26.0,-46.0,-46.0
18033,-18.0,-5.0,-5.0
18035,-28.0,-24.0,-7.0
18037,-19.0,-14.0,-14.0
18039,-35.0,-21.0,-5.0
18041,-21.0,-16.0,-16.0
18043,-21.0,-23.0,-4.0
18045,-10.0,0.0,0.0
18047,-28.0,-32.0,-32.0
18049,-19.0,-10.0,-10.0
18051,-19.0,-4.0,-4.0
18053,-17.0,-1.0,8.0
18055,-23.0,-15.0,-15.0
18057,-31.0,-28.0,-8.0
18059,9.0,9.0,33.0
18061,-8.0,1.0,0.0
18063,-26.0,-26.0,-1.0
18065,-19.0,-7.0,-1.0
18067,-36.0,-22.0,-3.0
18069,-29.0,-18.0,-18.0
18071,-55.0,-54.0,-45.0
18073,-24.0,-8.0,-3.0
18075,-35.0,-20.0,-20.0
18077,-1.0,1.0,-7.0
18079,-11.0,-14.0,-14.0
18081,-22.0,-20.0,3.0
18083,-15.0,-5.0,-5.0
18085,-24.0,-10.0,-2.0
18089,-27.0,-15.0,4.0
18093,-23.0,-24.0,-2.0
18095,-12.0,-7.0,10.0
18097,-27.0,-22.0,-5.0
18099,-19.0,-2.0,7.0
18101,-4.0,-8.0,-8.0
18103,-27.0,-9.0,-9.0
18105,-33.0,-29.0,-12.0
18107,-25.0,-7.0,-9.0
18109,-12.0,-2.0,8.0
18111,,,
18113,-26.0,1.0,1.0
18115,,,
18117,-19.0,-20.0,-20.0
18119,-21.0,-7.0,-7.0
18121,-2.0,10.0,10.0
18123,-4.0,85.0,85.0
18125,-7.0,8.0,8.0
18127,-28.0,-21.0,1.0
18129,6.0,0.0,0.0
18131,-23.0,-20.0,-20.0
18133,-31.0,-14.0,-14.0
18135,-14.0,-12.0,-12.0
18137,-18.0,-15.0,-15.0
18139,-11.0,-9.0,-9.0
18141,-26.0,-15.0,-4.0
18143,-8.0,1.0,1.0
18145,-18.0,-14.0,-4.0
18147,15.0,19.0,19.0
18149,-10.0,11.0,11.0
18151,-32.0,-17.0,1.0
18153,-17.0,-5.0,-5.0
18155,-34.0,-20.0,-20.0
18157,-37.0,-28.0,-12.0
18159,-22.0,-2.0,-2.0
18161,,,
18163,-16.0,-17.0,-3.0
18165,4.0,0.0,0.0
18167,-24.0,-20.0,-8.0
18169,-36.0,-9.0,-9.0
18171,,,
18173,-1.0,-13.0,-13.0
18175,-22.0,-18.0,-18.0
18177,-30.0,-24.0,-9.0
18179,-12.0,6.0,6.0
18181,-12.0,-8.0,-8.0
18183,-34.0,-12.0,-12.0
19001,-3.0,2.0,2.0
19005,-27.0,-5.0,-5.0
19007,26.0,52.0,52.0
19009,,,
19011,-10.0,25.0,25.0
19013,-23.0,-9.0,-3.0
19015,-21.0,-21.0,-21.0
19017,-24.0,-12.0,-12.0
19019,-13.0,0.0,0.0
19021,-6.0,-15.0,-15.0
19023,-15.0,2.0,2.0
19025,-12.0,-12.0,-12.0
19027,-4.0,13.0,13.0
19029,-6.0,13.0,13.0
19031,-23.0,0.0,0.0
19033,-13.0,6.0,19.0
19035,,,
19037,-28.0,-18.0,-18.0
19039,,,
19041,-18.0,-12.0,-12.0
19043,-12.0,7.0,7.0
19045,18.0,48.0,12.0
19047,,,
19049,-40.0,-39.0,-28.0
19051,,,
19053,,,
19055,-20.0,19.0,19.0
19057,-7.0,14.0,14.0
19059,-2.0,12.0,12.0
19061,-9.0,4.0,9.0
19063,11.0,11.0,11.0
