,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,FIPS
2528,0.0,0.0,0,0,0,0,0,8029
16,7.8,10.3,294829,3294,11,51,7,8031
2556,0.0,0.0,0,0,0,0,0,8033
347,2.1,1.5,26032,303,1,8,2,8035
240,2.8,0.7,15044,1298,8,10,5,8037
2587,0.0,0.0,0,0,0,0,0,8039
301,2.4,1.9,27790,334,2,9,0,8041
2664,0.0,0.0,0,0,0,0,0,8043
327,2.2,0.1,7240,604,2,4,4,8045
1054,0.0,0.0,0,0,0,0,1,8047
514,1.2,0.2,1613,485,3,3,3,8049
552,1.1,0.5,1705,71,1,1,3,8051
2868,0.0,0.0,0,0,0,0,0,8053
2898,0.0,0.0,0,0,0,0,1,8055
2934,0.0,0.0,0,0,0,0,0,8057
91,4.5,3.5,94547,766,4,27,3,8059
3032,0.0,0.0,0,0,0,0,0,8061
3035,0.0,0.0,0,0,0,0,0,8063
547,1.1,0.5,1131,64,1,2,1,8065
3079,0.0,0.0,0,0,0,0,1,8067
217,3.0,1.5,26579,610,4,10,1,8069
733,0.5,0.3,0,5,0,0,0,8071
3131,0.0,0.0,0,0,0,0,0,8073
1122,0.0,0.0,0,0,0,0,0,8075
320,2.3,1.2,15556,201,3,8,0,8077
1275,0.0,0.0,0,0,0,0,1,8079
1288,0.0,0.0,0,0,0,0,1,8081
1301,0.0,0.0,0,0,0,0,0,8083
1312,0.0,0.0,0,0,0,0,0,8085
775,0.4,0.2,0,2,0,0,0,8087
803,0.3,0.2,0,2,0,0,0,8089
1424,0.0,0.0,0,0,0,0,0,8091
1029,0.0,0.0,21,5,0,0,1,8093
1474,0.0,0.0,0,0,0,0,0,8095
80,4.7,0.0,13576,5293,13,10,16,8097
700,0.5,0.3,0,3,0,0,0,8099
333,2.2,1.2,19048,156,2,9,1,8101
1594,0.0,0.0,0,0,0,0,1,8103
1595,0.0,0.0,0,0,0,0,0,8105
1619,0.0,0.0,0,0,0,0,3,8107
1633,0.0,0.0,0,0,0,0,0,8109
1646,0.0,0.0,0,0,0,0,0,8111
1647,0.0,0.0,0,0,0,0,13,8113
1674,0.0,0.0,0,0,0,0,0,8115
273,2.5,1.1,6702,739,4,6,7,8117
1803,0.0,0.0,0,0,0,0,0,8119
1920,0.0,0.0,0,0,0,0,0,8121
483,1.4,0.8,13094,107,1,6,0,8123
2034,0.0,0.0,0,0,0,0,0,8125
90,4.5,4.0,67611,734,4,17,11,9001
82,4.6,2.8,93246,1835,5,23,3,9003
651,0.7,0.3,7559,53,1,3,1,9005
311,2.3,1.2,25612,205,3,16,1,9007
83,4.6,3.1,59527,1091,4,19,4,9009
406,1.8,1.0,9935,110,3,7,1,9011
474,1.4,0.5,12775,186,1,3,2,9013
708,0.5,0.3,1832,43,1,1,0,9015
365,2.0,0.9,10049,378,3,6,1,10001
98,4.4,2.5,72686,878,5,20,4,10003
523,1.2,0.5,3978,215,1,3,0,10005
5,9.3,23.3,658064,8095,25,50,37,11001
111,4.2,3.2,52308,1522,6,24,4,12001
2112,0.0,0.0,0,0,0,0,0,12003
443,1.6,0.8,8856,136,1,5,1,12005
2200,0.0,0.0,0,0,0,0,0,12007
377,1.9,0.9,12984,164,2,8,0,12009
63,5.0,3.5,116570,979,4,33,2,12011
2254,0.0,0.0,0,0,0,0,0,12013
1030,0.0,0.0,122,4,0,0,0,12015
679,0.6,0.2,1780,30,1,2,0,12017
843,0.3,0.1,1299,26,0,1,0,12019
389,1.9,0.9,19540,158,3,10,2,12021
2427,0.0,0.0,0,0,0,0,0,12023
2534,0.0,0.0,0,0,0,0,6,12027
2551,0.0,0.0,0,0,0,0,0,12029
135,3.8,2.3,54749,790,3,17,2,12031
291,2.4,1.3,27998,261,2,12,0,12033
2630,0.0,0.0,0,0,0,0,0,12035
2647,0.0,0.0,0,0,0,0,0,12037
2676,0.0,0.0,0,0,0,0,0,12039
2702,0.0,0.0,0,0,0,0,0,12041
2709,0.0,0.0,0,0,0,0,0,12043
2781,0.0,0.0,0,0,0,0,0,12045
2793,0.0,0.0,0,0,0,0,0,12047
2815,0.0,0.0,0,0,0,0,3,12049
2851,0.0,0.0,0,0,0,0,9,12051
458,1.5,0.7,7930,127,1,9,0,12053
986,0.1,0.1,0,1,0,0,2,12055
191,3.2,2.2,56792,662,3,13,1,12057
2874,0.0,0.0,0,0,0,0,0,12059
2915,0.0,0.0,0,0,0,0,0,12061
2935,0.0,0.0,0,0,0,0,0,12063
2961,0.0,0.0,0,0,0,0,0,12065
3054,0.0,0.0,0,0,0,0,0,12067
538,1.1,0.4,6815,96,1,4,0,12069
315,2.3,1.3,21139,261,2,10,0,12071
173,3.3,2.0,54342,773,4,15,1,12073
3117,0.0,0.0,0,0,0,0,0,12075
3125,0.0,0.0,0,0,0,0,5,12077
1157,0.0,0.0,0,0,0,0,0,12079
257,2.6,1.6,25342,307,2,13,0,12081
657,0.7,0.4,6019,68,1,3,0,12083
687,0.6,0.2,2904,44,1,1,0,12085
33,6.5,7.1,169478,1841,6,38,5,12086
445,1.6,0.8,4528,151,2,2,2,12087
985,0.1,0.0,40,9,0,0,0,12089
543,1.1,0.9,5578,81,1,2,0,12091
932,0.1,0.1,0,1,0,0,0,12093
118,4.2,3.6,152899,1038,4,32,2,12095
198,3.1,2.2,38378,584,3,18,1,12097
177,3.3,1.7,42790,457,2,15,2,12099
420,1.7,0.9,10794,131,2,10,0,12101
84,4.6,2.4,82372,763,4,30,1,12103
444,1.6,0.7,14933,143,2,8,0,12105
922,0.1,0.1,17,4,0,0,0,12107
614,0.8,0.3,7856,83,1,3,0,12109
595,0.9,0.4,3188,58,1,2,0,12111
1033,0.0,0.0,389,2,0,0,0,12113
170,3.4,2.1,35250,480,3,20,0,12115
281,2.5,2.0,32162,322,1,9,0,12117
1087,0.0,0.0,0,0,0,0,0,12119
1779,0.0,0.0,0,0,0,0,0,12121
1795,0.0,0.0,0,0,0,0,0,12123
1858,0.0,0.0,0,0,0,0,1,12125
230,2.9,1.7,20252,423,3,14,1,12127
1896,0.0,0.0,0,0,0,0,0,12129
1004,0.1,0.0,47,5,0,0,0,12131
1921,0.0,0.0,0,0,0,0,0,12133
2081,0.0,0.0,0,0,0,0,0,13001
2097,0.0,0.0,0,0,0,0,0,13003
2110,0.0,0.0,0,0,0,0,1,13005
2113,0.0,0.0,0,0,0,0,0,13007
2114,0.0,0.0,0,0,0,0,0,13009
2117,0.0,0.0,0,0,0,0,0,13011
2127,0.0,0.0,0,0,0,0,0,13013
1047,0.0,0.0,3960,4,0,0,0,13015
2151,0.0,0.0,0,0,0,0,0,13017
2161,0.0,0.0,0,0,0,0,0,13019
342,2.1,1.1,30609,158,2,18,1,13021
2176,0.0,0.0,0,0,0,0,0,13023
2204,0.0,0.0,0,0,0,0,1,13025
2215,0.0,0.0,0,0,0,0,0,13027
2226,0.0,0.0,0,0,0,0,0,13029
2232,0.0,0.0,0,0,0,0,1,13031
2234,0.0,0.0,0,0,0,0,0,13033
2247,0.0,0.0,0,0,0,0,0,13035
2255,0.0,0.0,0,0,0,0,0,13037
2265,0.0,0.0,0,0,0,0,0,13039
2275,0.0,0.0,0,0,0,0,0,13043
2284,0.0,0.0,0,0,0,0,0,13045
